Date received,Product,Sub-product,Issue,Sub-issue,Consumer complaint narrative,Company public response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?,Complaint ID
1/30/2018,Vehicle loan or lease,Loan,Getting a loan or lease,Fraudulent loan,"Purchased a car from a dealer. Dealer did not pay the floor plan company for the car which made it difficult to get a tag for the car. Before the paper tag expired, the dealership closed down. While speaking with the finance company about the issue with the tag, I contacted the finance company to inquire about having to make payments on the car that I could not drive due to no legal tag. During this conversation, I asked the Director of the company ( XXXX XXXX ) if they could void the contract since there seemed to be some fraudulent activity going on. He told me that was not possible. After 5 months of not being able to drive the car due to no tag, the DMV was finally able to provide me with a tag. The 5 months that the car was parked, my wife & I still made our payments faithfully & on time. XX/XX/2018 we began the process to purchase a home & hired a certified credit consultant. Once our credit was pulled & the car showed up on the credit, our credit consultant asked to see the contract for the car. Due to the dealership advising us that the finance company would send the paperwork ( contract )  in the mail once they received the package & we never received it, we made contact with the finance company to request a copy of the contract. Once receipt of the contract, I noticed there was information that was not true & information that I did not have knowledge of. There was indications that I traded a car for this car ( but I did not ). As well as indication that the finance company of my first car would be paid off ( but it was not ). The down payment amount was not correct. The contract showed a down payment of {$1000.00} when in fact we put {$1200.00} down. There was nothing in the contract about GAP insurance but the dealer told us that part of the down payment would be used to purchase GAP coverage. After looking over the contract we then reached out to the finance company again to inform them of our findings. The rep we spoke with ( XXXX XXXX ) stated that he needed to pass the information along to someone above him and he would have someone from the finance or funding department to contact us. We did not hear from them on the day he promised so we initiated contacted again. At this time we were placed on hold & were told the department we needed to speak with was on another call & would be with us shortly. After holding for 5 mins, XXXX came to the line asking if anyone had contacted us and once told no he stated he would go to the person that was to contact us & make them aware that we were waiting to hear from them. After speaking with XXXX, we then decided to email him. This email informed the company that they seemed unsure about how to handle such a issue therefore, we thought it may help if we told them what we wanted to happen due to this fraudulent contract. We let it be known that we wanted out of the contract with no negative remarks on our credit, we wanted all payments made returned and we wanted them to retrieve their car. 2 hours later we received a email from XXXX XXXX with her direct phone # and asking that I contact her at our convenience. Shortly after receiving the email I called XXXX with my wife there with me and listening to the entire cal. XXXX asked that we start from the beginning with the issue of the loan. I told her about the issue with not having a tag and not being able to drive the car for the first 5 months. She was informed that I tried to see if the dealer had reopened before contacting them. I confirmed there was no car traded in, I informed her the down payment amount on the contract was incorrect and she was also informed that the car that the dealer said was traded is not a car that we own. She asked if the dealer told us to lie to them during the welcome call about the down payment amount and we told her no. We explained that the dealer advised us that the down payment amount that would be stated in the welcome call was because of the way the dealer was going to split the down payment up among the GAP coverage and warranty. XXXX stated 3-4 different times during the call that the contract was definitely fraud. Her exact words each time was "" oh, yes maam, this is definitely fraud on their end ''. The call ended by XXXX saying she needed to speak with her manager, let them know what we wanted and she promised to get back with us the nest day. As XXXX did contact me back the next day, she then changed from what she said the previous day and said there was no fraud. When asked why she was no changing what she said from the previous call, she denied ever saying that she admitted the contract was fraudulent and then asked why I kept bringing up yesterdays conversation. Once I realized she seemed to be doing just as dirty as the dealership, I then let her know that the company could keep the money that had been paid on the car but I wanted out of the contract because doing business with their company has been nothing but a headache. We ended the call by XXXX saying she would pass the information of me wanting out of the contract with no negative remarks on my credit even if there was no refund of payments to her manager and "" if he would like '', he would contact me. 
XXXX was representing the finance company and stated herself the contract was fraudulent but then after she spoke with other people in the company, she denied ever saying that. Then stated that I was asked about having another car during a welcome call but no we were not.",,"Coastal Credit, LLC",SC,293XX,,Consent provided,Web,1/30/2018,Closed with explanation,Yes,,2798234
11/15/2017,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,,Company believes it acted appropriately as authorized by contract or law,ERC,NC,287XX,,Consent not provided,Web,11/15/2017,Closed with explanation,Yes,,2729535
7/14/2016,Credit card,,Transaction issue,,,,AMERICAN EXPRESS COMPANY,CA,91744,,Consent not provided,Web,7/14/2016,Closed with non-monetary relief,Yes,No,2010545
1/15/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,AFNI INC.,FL,32765,Older American,,Web,1/15/2015,Closed with explanation,Yes,No,1195401
2/4/2017,Credit card,,Delinquent account,,,,CAPITAL ONE FINANCIAL CORPORATION,TX,76132,,Consent not provided,Web,2/8/2017,Closed with explanation,Yes,Yes,2327402
1/1/2019,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was result of identity theft,"Ran my credit for the first time via XXXX XXXX.. Noticed charges I am not in anyway familiar with per credit agencies listed below. I would like to have these items of concern rectified and cleared from credit profile. 

Please see the following.

( 1 ) - XXXX XXXX XXXX XXXX states that I owe {$2100.00}. I know nothing of these charges and would like for this to be rectified and cleared from my credit score account.

( 2 ) - Capital One : {$560.00} Anything you can do will be greatly appreciated. 

Mr. XXXX XXXX.",,CAPITAL ONE FINANCIAL CORPORATION,CA,907XX,,Consent provided,Web,1/1/2019,Closed with explanation,Yes,,3114084
2/19/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,"I am reaching out regarding predatory practices on behalf of the company XXXX XXXX that seek to damage my credit. With the exemption of XXXX in which account XXXX XXXX # XXXX is removed, this said account has been charged off and closed. Additionally, XXXX and Experian report this account as closed in XX/XX/XXXX, XX/XX/XXXX, and XX/XX/XXXX. The lender ( XXXX XXXX ) is attempting to ILLEGALLY re-age a closed, charged off account. According to the FCRA, the beginning, first date of delinquency can not be changed once an account is charged off. Once a charged off account reaches 7 years, then the credit bureaus must purge the account from your credit history. XXXX XXXX has ILLEGALLY re-opened the account in an attempt to reset the 7 year clock. It is illegal for a creditor to change the purge from date on a negative account by reopening the account so that it remains on the consumer credit report. 

In light of the lack ethical practices on behalf of XXXX XXXX, incorrect payment history, incorrect account status, I am requesting that this account is REMOVED from my credit reports immediately. I have disputed this account several times and both XXXX and Experian have failed to adequately investigate my dispute after verifying these accounts which I know are inaccurate. The lender is attempting to illegally re-age the account. Consumers have the right to be protected from unfair credit practices ; hence I am requesting reparations by the account being removed. Please remove as soon as possible to avoid further damage to my credit and my reputation with creditors. Thank you again for your time. XXXX XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NY,112XX,,Consent provided,Web,2/19/2018,Closed with explanation,Yes,,2818676
11/16/2017,Debt collection,Credit card debt,Communication tactics,Frequent or repeated calls,"Over the last 3 weeks, I have received a minimum 8 phones calls per day from Bank of America concerning "" pressing business matters. '' Typically, I receive a phone call, then within 10 minutes I receive a second phone call. Within a few hours, this process repeats itself. I have contacted Bank of America and discussed the issue and was advised that until my account was up to-to-date I would continue to receive the phone calls. I explained that I was receiving several phone calls per day and that I considered it harassment but was informed that this would continue until i made a payment on my account. I advised the customer service representative that all of my accounts were up to date and they apologized after some quick research. I was further informed at that time that they would ensure that the phone calls would stop and that they had submitted a "" call stop '' on my phone number. I was also informed that since I requested a "" Call Stop '' that I would not receive any phones calls regarding any of our 5 accounts. However, within 30 minutes, I received yet another phone call from Bank of America concerning a "" pressing business matter. '' I did speak with a third manager ( XXXX XXXX ), who as very kind, understanding and listened with intent. She informed me that she could not see where Bank of America had made any outbound calls to my number. The only thing she could see were 2 call backs. This is simply not true. ( 1 ) I receive, at minimum, 8 calls per day, ( 2 ) both times that I spoke with Customer Service Representative and Managers, I did so by staying online until I actually got to speak to a human being. Unfortunately, there is nothing that XXXX XXXX can truly due. I 'm certain I will receive yet another call within 10 minutes of hanging up with her.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",TN,379XX,Servicemember,Consent provided,Web,11/17/2017,Closed with non-monetary relief,Yes,,2731638
7/14/2017,Student loan,Federal student loan servicing,Dealing with your lender or servicer,Problem with customer service,"Got a call from my Mortgage company on Tuesday, XXXX XXXX, 2017 at XXXX. They were surprised on why Navient reported a deliquesce on my student loan account, for it being 4 months past due. They were surprised because in XXXX of 2017, when applying for my mortgage, they pulled my credit and I was, at that time, listed as "" in good standing '' with Navient. My first question is how do you go from being in good standing to being delinquent for 4 months in two months! The math does n't add up, there has to be a mistake. <P/>After receiving the call on Tuesday, XXXX XXXX, 2017 at XXXX, I quickly called Navient to settle the issue. I paid the past due payments, bringing my account to paid in full. They took the money out of my account on Tuesday as well. I called everyday since Tuesday, ( Wednesday at XXXX XXXX, Thursday at XXXX and at XXXX XXXX ) and finally on Wednesday night they processed the payment, even though they had already charged my account. I have asked everyday for them to send a notice to the Credit Bureau stating that my account was now paid in full, is current, and is in good standing, so that my credit score could get back to it 's previous score. As of right now, the response that I keep on getting from their customer service reps is that they can not send a notice until the end of the month. That does not work for me, because if that is the way it works, I will lose my house. My current credit score will not allow me to be granted the already pre-approved mortgage to pay for the house.",,"Navient Solutions, LLC.",OH,441XX,,Consent provided,Web,7/14/2017,Closed with explanation,Yes,,2575394
3/1/2017,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Ocwen send me a notice that i need to send {$1200.00} for escrow which I did to keep my payment at XXXX per month, then they sent me a new payment of XXXX per month when i asked them way the increase they had no answer. This is my second time filing against this company, why they are still alowed to contunie in business I call XXXX in XXXX to bring this company",,OCWEN LOAN SERVICING LLC,NY,117XX,Older American,Consent provided,Web,3/1/2017,Closed with explanation,Yes,Yes,2365727
12/6/2017,Debt collection,Medical debt,Attempts to collect debt not owed,Debt is not yours,This debt is n't even mine and needs to be removed immediately. I was told via phone with original company I was not liable anymore for this as it was paid for. Please remove this for my credit report.,Company disputes the facts presented in the complaint,United Revenue Corporation,MT,,Servicemember,Consent provided,Web,12/6/2017,Closed with explanation,Yes,,2747418
2/29/2016,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt is not mine,,,GRYPHON CORP.,MN,558XX,,Consent not provided,Web,3/2/2016,Closed with explanation,Yes,Yes,1809425
6/27/2016,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",MA,02302,,Consent not provided,Web,6/27/2016,Closed with non-monetary relief,Yes,No,1986946
3/29/2019,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account status incorrect,,,CAPITAL ONE FINANCIAL CORPORATION,MO,,,,Web,4/3/2019,Closed with explanation,Yes,,3194865
10/23/2015,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,"Equifax began reporting a judgment on my credit report XX/XX/2015. I disputed this and received a copy of an unsigned unfiled judgment. An unsigned unfiled judgment is not a legally binding judgment. Equifax states that I did not respond within the 30 day period but this is incorrect as I was not notified by Equifax of the need to respond. 

I am continuing to dispute this judgment on my credit report. Please provide me with a copy of a judgment signed by a judge with an actual court filing date listed on it or remove this judgment from my credit report immediately. Prove this judgment is what you say it is or remove it. 

I have attached a copy of the purported judgement. It bears no judicial signature, no filing date, and there is no indication who signed it or otherwise. Please provide a copy of the legal document you are reporting or remove it.",,"EQUIFAX, INC.",MT,,,Consent provided,Web,10/23/2015,Closed with explanation,Yes,No,1621225
1/20/2017,Mortgage,Home equity loan or line of credit,Credit decision / Underwriting,,"ON XXXX XXXX XXXX WE CALLED WELLS FARGO MTG WHO CURERNTLY HOLDS OUR MTG TO REFINANCE AND GET SOME EQUITY WE HAVE AVAILABLE TO CONSOLIDATE SOME BILLS AND DO SOME HOME IMPROVEMENTS. I WAS DIRECTED TO A XXXX XXXX XXXX WHO WAS VERY SHORT WITH HIS EXPLANATIONS TO THE LOAN WE WERE REQUESTING AND STATED BEFORE WE APPLY FOR THE REFINANCE THAT WE NEEDED TO GET HIM DOCUMENTS BEFORE WE COULD APPLY -- LIKE OUR CHECK STUBS, BANK STATEMENTS FOR LAST TWO MONTHS AND OUR MORTGAGE STATEMENTS - I THOUGHT THAT WAS PRETTY PREMATURE SINCE WE HADNT EVEN DONE OUR APPLICATION YET - HE STATED IT WOULD TAKE 45 MINUTES TO DO OVER THE PHONE IF I WANTED TO I COULD APPLY ONLINE - I EXPLAINED TO HIM WHICH EVER WAY WAS FASTER I WOULD DO. HE CONTINUED TO STRESS TOSEND HIM THE DOCUMENTS TO HIM BEFORE WE TAKE THE APPLICATION. HE ALSO WANTED TO KNOW WHAT MY CREDIT SCORE WAS BEOFRE TAKING AND I WAS NOT SURE WHAT IT WAS I HAD GIVIEN HIM WHAT THE WEBSITE XXXX HAD GIVEN US AND HE AT THAT TIME STATED IT WAS IT WAS LOW. MY HUSBAND AND I CURRENTLY ONLY OWE XXXX ON OUR MORTGAGE WHO WAS FINANCED FOR LAST 15 YEARS WITH WELLSFARGO AT THAT TIME I FELT LIKE I WOULD OF BEEN TRATED BETTER AND WITH OPEN ARMS SINCE THEY HAD MY PAY HISTORY RIGHT IN FRONT OF THEM AND SAW THAT I WAS NEVER LATE. THAT WAS NOT THE CASE. I EXPLAINED TO XXXX XXXX THAT WE WANTED TO POSSIBLY CLOSE BEFORE THE END OF THE YEAR SO WE CAN USE FOR OUR TAX PURPOSES AND HE STATED OH NO IT WILL TAKE 60-75 DAYS TO CLOSE. WE CONTINUED IN HOPES THAT ALL WOULD BE DONE SOON. AS THE WEEKS WENT BY DOCUMENTS WERE ASKED OF ME ONLY WHEN I WOULD CALL TO XXXX TO SEE WHAT THE STAUS WAS ON OUR LOAN THERE WOULD BE WEEKS GO BY AND NO CONTACT FROM THEM. DURING THE PROCESS I DID ASK WHY IS THERE SUCH A LONG TIME IN BETWEEN PROCESS AND HE SAID ITS PROCESSORS THAT TAKE THE LONG TIME NOT HIM HE JUST GIVES THEM WHAT THEY ASK FOR. WE CONTINUE TO WAY AND STILL TO THIS DATE WE HAVE NOT RECEIVED CONFIRMATION THAT OUR LOAN HAS BEEN APPROVED. WHEN CONTINUED TO ASK IF OUR LOAN WAS APPROVED HE STATED THAT HE DIDNT KNOW ITS WITH THE UNDERWRITER AND THEY NEED TO HAVE ALL THE DOCUMENTS BEFORE THEY CAN GET AN APPROVAL. DOCUMENTS HAD BEEN ASKED OF ME MORE THAN ONCE AND GIVEN TO THEM MORE THAN ONCE. TO THIS DATE WHICH IS XXXX XXXX XXXX THEY STILL HAVEN NOT CALLED OUR JOBS TO VERIFY OUR EMPLOYMENT. I DONT BELIEVE THIS COMPANY HAD ANY INTENTIONS TO CLOSE OUR LOAN. I WAS NEVER TOLD TO COME TO THEIR LOCATION TO MEET THEM OR ANYTHING. I BELIEVE BECAUSE OUR NAME IS WHAT OUR NAME IS AND WE DONT HAVE TONS AND TONS OF MONEY THAT IT WAS PUT ON THE BACK BURNER AND NEVER OF ANY IMPORTANCE. I CALLED YESTERDAY TO SEE THE STATUS ONCE AGAIN AND THE PROCESSOR DIDNT HAVE ANYTHING TO TELL ME ONLY THAT HE GOT A RATE EXTENTION FOR ME AND THAT I SHOULD BE HAPPY FOR THAT. I EXPRESSED TO HIM WHY WOULD YOU NEED A RATE EXTENTION? IF WE WOULD OF CLOSED WHEN THE CLOSED WHOULD OF BEEN CLOSED WEEKS AGO THAT WOULD NEVER HAVE HAD TO BE DONE. I ASKED FOR CORPORATES NUMBER AND I CALLED THEM TO LET THEM KNOW WHAT WAS HAPPENING AND A XXXX XXXX CALLED ME BACK ONLY TO TELL ME HE WAS DRIVING AND THAT HE WOULD HAVE TO CONTACT ME ANOTHER DAY OR IF WE WANT TO CANCEL THE LOAN HE CAN GET THAT PROCESSED FOR US. I EXPRESSED TO HIM THAT HIS VERY BLAND ATTITUDE WAS NOT ACCEPTABLE. THEN HE CONTINUED TO ASK WHAT DID I WANT HIM TO DO. I THEN STATED TO HIM THAT I DIDNT WANT HIM TO DO ANYTHING AND THAT I WOULD HANDLE A DIFFERENT ROUTE. I THEN CALLED AGAIN TO THE XXXX NUMBER AND THEY SENT ME TO THE PRESIDENTS NUMBER AND ALL THEY COULD DO WAS TAKE MY NAME AND FILE A CASE AND WILL CONTACT ME WITHIN XXXX WEEKS. I WAS FLOORED ON HOW WELLS FAGO HANDLED THIS AFTER MANY YEARS OF PERFECT PAY WITH CARS -CC- AND MTG MY HUSBAND AND I JUST WAISTED 3 MONTHS AND NOTHING ACCOMPLISHED.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,TX,774XX,,Consent provided,Web,1/20/2017,Closed with explanation,Yes,No,2302087
5/14/2017,Debt collection,Medical debt,Written notification about debt,Didn't receive enough information to verify debt,I pulled my credit report and noticed an unknown medical account on my credit report. I disputed this account with the credit bureau and was told that this has been verified. I then was told by the credit bureau to contact ability recovery services and they then send me a itemized bill which is not validation. I request for a copy of a contract bearing my signature and something showing that I have a contract with them.,,"Ability Recovery Services, LLC",MO,,,Consent provided,Web,5/14/2017,Closed with explanation,Yes,,2484018
7/26/2016,Debt collection,Credit card,Disclosure verification of debt,Not given enough info to verify debt,,,FIRST NATIONAL BANK OF OMAHA,WA,988XX,,,Referral,7/29/2016,Closed with explanation,Yes,No,2030122
10/20/2012,Student loan,Non-federal student loan,Getting a loan,,,,WELLS FARGO & COMPANY,CA,91350,,,Web,10/22/2012,Closed with non-monetary relief,Yes,No,175042
9/17/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,"ON XX/XX/XXXX at XXXX I contacted Capital One in regards to a balance if {$470.00} reporting on my XXXX , XXXX , and XXXX credit files, but my balance is {$350.00}. I spoke with a Representative Name : XXXX employee #  XXXX who stated I have to wait 30 days after I put my request in writing. I explained to her this is in accurate balance and its a violation of the FCRA to not update correct information referring to my account information. Also when I opened my Capital one Acct XX/XX/XXXX I was told after 5 months of on time payments I will get a credit increase. that did not happen I didn't get an increase until XX/XX/XXXX. I feel this company fail to be in compliance of what they write in fine print.",,CAPITAL ONE FINANCIAL CORPORATION,IL,606XX,,Consent provided,Web,9/17/2018,Closed with explanation,Yes,,3021743
9/18/2013,Credit reporting,,Credit reporting company's investigation,No notice of investigation status/result,,,"EQUIFAX, INC.",NC,28560,,,Web,9/18/2013,Closed with non-monetary relief,Yes,No,533658
10/7/2016,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,,"DLC, LLC",NV,89117,,Consent not provided,Web,10/31/2016,Closed with explanation,Yes,No,2149461
6/23/2013,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,WELLS FARGO & COMPANY,CA,94122,Older American,,Web,6/25/2013,Closed with explanation,Yes,Yes,438552
2/24/2019,Mortgage,Conventional home mortgage,Trouble during payment process,,"I have requested my PMI be removed from my account as my LTV is at about 75 % of the original appraisal. My mortgage company Lakeview Loan Servicing or XXXX XXXX asked me to pay for a new appraisal, for which I paid them {$420.00}. They then sent me a letter saying an appraisal cost XXXX and in needed to send them more money at which time they would determine again if that was enough money. I have asked for an explaination as to why the appraisal cost is so high. No body can answer me. They just say they will submit a request to the PMI removal department, which by the way has no phone number. They give me a date for when it will be recalculated by the first date was supposed to be complete in late XXXX. When I did not hear anything from them by Mid-XXXX I called them again and they said they would do the same thing as nothing had been done so far and this time it would be completed the XX/XX/XXXX. I call the XX/XX/XXXX and they said it would be completed that night and to call back in the morning. I called back the XXXX and they put me on hold then hung up on me. I called back an hour later and they told me they would put in a request for someone in the PMI removal department to call me. It is now theXX/XX/XXXX and I have not heard anything back. They sent me a letter saying if I did not submit the additional {$620.00} within 45 days they will refund the money and I would have to start all over.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"LAKEVIEW LOAN SERVICING, LLC",WA,993XX,,Consent provided,Web,2/24/2019,Closed with explanation,Yes,,3161719
1/28/2014,Credit card,,Advertising and marketing,,,,"CITIBANK, N.A.",VA,20170,,,Web,1/27/2014,Closed with explanation,Yes,No,687931
8/8/2018,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,90016,,,Postal mail,8/8/2018,Closed with non-monetary relief,Yes,,2986608
4/2/2019,"Credit reporting, credit repair services, or other personal consumer reports",Credit reporting,Incorrect information on your report,Account information incorrect,,,DISCOVER BANK,WA,988XX,,,Web,4/2/2019,Closed with explanation,Yes,,3199048
4/12/2018,Debt collection,I do not know,Attempts to collect debt not owed,Debt is not yours,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",NY,10303,,Consent not provided,Web,4/12/2018,Closed with explanation,Yes,,2873794
1/5/2018,Debt collection,Credit card debt,Attempts to collect debt not owed,Debt was paid,,,Alliance Data Card Services,FL,32218,Servicemember,Consent not provided,Web,1/7/2018,Closed with explanation,Yes,,2772285
